0.0     0
0.5	0
1	0
1.5	0
2	0
2.5	3.22303E-05
3	0.016952172
3.5	1.373769339
4	3.439130412
4.5	2.497101851
5	1.26498431
5.5	0.670727501
6	0.442635622
6.5	0.369077653
7	0.410545256
7.5	0.729144504
8	1.286772187
8.5	1.593476691
9	1.508945301
9.5	1.236168681
10	0.980000253
10.5	0.823756403
11	0.752610608
11.5	0.771893511
12	0.882633785
12.5	1.033820897
13	1.14276847
13.5	1.162903144
14	1.111144688
14.5	1.032612044
15	0.961211237
15.5	0.92141972
16	0.919253182
16.5	0.949908487
17	0.989754787
17.5	1.03139783
18	1.047363104
18.5	1.041261539
19	1.020642501
19.5	0.995142774
20	0.980598774
20.5	0.974010238
21	0.978320527
21.5	0.990338389
22	1.001949681
22.5	1.009032973
23	1.012658166
23.5	1.010637514
24	1.002361461
24.5	0.995125139
25	0.992202308
25.5	0.990446984
26	0.996393808
26.5	0.998284692
27	1.001644979
27.5	1.003015067
28	1.005314045
28.5	1.002810858
29	1.001064971
29.5	1.000685014
30	0.996506612
