,              0,             10,             20,             30,             40,             50,             60,             70,             80,             90,            100,            110,            120,            130,            140,            150,            160,            170,            180,            190,            200,            210,            220,            230,            240,            250,            260,            270,            280,            290,            300,            310,            320,            330,            340,            350,            360,            370,            380,            390,            400,            410,            420,            430,            440,            450,            460,            470,            480,            490,            500,            510,            520,            530,            540,            550,            560,            570,            580,            590,            600
   5.0000000000,   0.0281266300,   0.2564341000,  -0.0902001300,  -0.2417894000,  -0.1450524000,  -0.1158674000,  -0.1719030000,  -0.2297410000,  -0.2563390000,  -0.2682494000,  -0.2772836000,  -0.2847938000,  -0.2903050000,  -0.2943400000,  -0.2975451000,  -0.3001768000,  -0.3023165000,  -0.3040588000,  -0.3055062000,  -0.3067341000,  -0.3077901000,  -0.3087073000,  -0.3095102000,  -0.3102171000,  -0.3108414000,  -0.3113937000,  -0.3118830000,  -0.3123167000,  -0.3127014000,  -0.3130429000,  -0.3133461000,  -0.3136155000,  -0.3138550000,  -0.3140680000,  -0.3142576000,  -0.3144265000,  -0.3145770000,  -0.3147112000,  -0.3148310000,  -0.3149381000,  -0.3150339000,  -0.3151197000,  -0.3151967000,  -0.3152661000,  -0.3153290000,  -0.3153866000,  -0.3154403000,  -0.3154922000,  -0.3155453000,  -0.3156046000,  -0.3156786000,  -0.3157819000,  -0.3159408000,  -0.3162014000,  -0.3166466000,  -0.3174240000,  -0.3187966000,  -0.3212328000,  -0.3255624000,  -0.3332424000,  -0.3467886000
   5.5000000000,   0.0394905200,   0.6416887000,   0.3505384000,   0.2196222000,   0.4126823000,   0.5201113000,   0.4900906000,   0.4395871000,   0.4224770000,   0.4202517000,   0.4184657000,   0.4162076000,   0.4149283000,   0.4144750000,   0.4142784000,   0.4141785000,   0.4142101000,   0.4143601000,   0.4145729000,   0.4148071000,   0.4150430000,   0.4152707000,   0.4154842000,   0.4156806000,   0.4158597000,   0.4160226000,   0.4161706000,   0.4163051000,   0.4164274000,   0.4165387000,   0.4166399000,   0.4167322000,   0.4168164000,   0.4168933000,   0.4169636000,   0.4170278000,   0.4170866000,   0.4171404000,   0.4171897000,   0.4172348000,   0.4172761000,   0.4173139000,   0.4173482000,   0.4173793000,   0.4174070000,   0.4174309000,   0.4174500000,   0.4174627000,   0.4174654000,   0.4174521000,   0.4174113000,   0.4173230000,   0.4171506000,   0.4168288000,   0.4162408000,   0.4151772000,   0.4132634000,   0.4098304000,   0.4036845000,   0.3927050000,   0.3731482000
   6.0000000000,   0.0496131300,   1.1251920000,   0.9439434000,   0.7622169000,   0.9932818000,   1.1879200000,   1.2085730000,   1.1736160000,   1.1630690000,   1.1667780000,   1.1698400000,   1.1708240000,   1.1717590000,   1.1729870000,   1.1740750000,   1.1749140000,   1.1756290000,   1.1762950000,   1.1769110000,   1.1774660000,   1.1779600000,   1.1783970000,   1.1787800000,   1.1791130000,   1.1794000000,   1.1796470000,   1.1798590000,   1.1800400000,   1.1801950000,   1.1803260000,   1.1804380000,   1.1805330000,   1.1806130000,   1.1806800000,   1.1807370000,   1.1807840000,   1.1808240000,   1.1808570000,   1.1808840000,   1.1809060000,   1.1809240000,   1.1809390000,   1.1809500000,   1.1809590000,   1.1809650000,   1.1809680000,   1.1809670000,   1.1809600000,   1.1809460000,   1.1809170000,   1.1808630000,   1.1807660000,   1.1805910000,   1.1802780000,   1.1797170000,   1.1787130000,   1.1769150000,   1.1736980000,   1.1679370000,   1.1576240000,   1.1391660000
   6.5000000000,   0.0585708300,   1.6528580000,   1.5763730000,   1.2508800000,   1.4092770000,   1.6319450000,   1.6856700000,   1.6561250000,   1.6405490000,   1.6403060000,   1.6409720000,   1.6396670000,   1.6382980000,   1.6374690000,   1.6367510000,   1.6359470000,   1.6351540000,   1.6344620000,   1.6338780000,   1.6333820000,   1.6329600000,   1.6326030000,   1.6322990000,   1.6320390000,   1.6318160000,   1.6316220000,   1.6314540000,   1.6313090000,   1.6311820000,   1.6310710000,   1.6309750000,   1.6308900000,   1.6308160000,   1.6307510000,   1.6306930000,   1.6306430000,   1.6305980000,   1.6305590000,   1.6305230000,   1.6304920000,   1.6304650000,   1.6304400000,   1.6304170000,   1.6303970000,   1.6303780000,   1.6303610000,   1.6303430000,   1.6303230000,   1.6302990000,   1.6302660000,   1.6302170000,   1.6301350000,   1.6299980000,   1.6297570000,   1.6293320000,   1.6285770000,   1.6272280000,   1.6248160000,   1.6204950000,   1.6127470000,   1.5988330000
   7.0000000000,   0.0664764100,   2.1453790000,   2.1440160000,   1.6347550000,   1.6459130000,   1.8326470000,   1.8966390000,   1.8700990000,   1.8504810000,   1.8475770000,   1.8476160000,   1.8461310000,   1.8445900000,   1.8437260000,   1.8431000000,   1.8424060000,   1.8416910000,   1.8410500000,   1.8405010000,   1.8400310000,   1.8396320000,   1.8392970000,   1.8390180000,   1.8387860000,   1.8385930000,   1.8384330000,   1.8383020000,   1.8381950000,   1.8381090000,   1.8380390000,   1.8379850000,   1.8379420000,   1.8379100000,   1.8378870000,   1.8378700000,   1.8378590000,   1.8378530000,   1.8378500000,   1.8378500000,   1.8378530000,   1.8378570000,   1.8378630000,   1.8378700000,   1.8378770000,   1.8378840000,   1.8378900000,   1.8378960000,   1.8378990000,   1.8378990000,   1.8378910000,   1.8378710000,   1.8378300000,   1.8377490000,   1.8376000000,   1.8373260000,   1.8368300000,   1.8359370000,   1.8343320000,   1.8314480000,   1.8262620000,   1.8169140000
   7.5000000000,   0.0734653000,   2.5133220000,   2.5728310000,   1.9158420000,   1.7788540000,   1.8999400000,   1.9596960000,   1.9382830000,   1.9199760000,   1.9184260000,   1.9208280000,   1.9217370000,   1.9222670000,   1.9232840000,   1.9244150000,   1.9252990000,   1.9259470000,   1.9264560000,   1.9268680000,   1.9271930000,   1.9274470000,   1.9276430000,   1.9277950000,   1.9279100000,   1.9279950000,   1.9280560000,   1.9280980000,   1.9281250000,   1.9281400000,   1.9281460000,   1.9281450000,   1.9281390000,   1.9281290000,   1.9281160000,   1.9281020000,   1.9280870000,   1.9280720000,   1.9280560000,   1.9280410000,   1.9280260000,   1.9280120000,   1.9279990000,   1.9279860000,   1.9279740000,   1.9279630000,   1.9279520000,   1.9279410000,   1.9279300000,   1.9279180000,   1.9279010000,   1.9278780000,   1.9278420000,   1.9277830000,   1.9276810000,   1.9275010000,   1.9271830000,   1.9266160000,   1.9256020000,   1.9237830000,   1.9205110000,   1.9146040000
   8.0000000000,   0.0796856400,   2.6731920000,   2.8098570000,   2.0986550000,   1.8696470000,   1.9328290000,   1.9836230000,   1.9681000000,   1.9525850000,   1.9516130000,   1.9543290000,   1.9554660000,   1.9560790000,   1.9572040000,   1.9585860000,   1.9598490000,   1.9609340000,   1.9618930000,   1.9627440000,   1.9634840000,   1.9641200000,   1.9646660000,   1.9651350000,   1.9655370000,   1.9658800000,   1.9661720000,   1.9664190000,   1.9666280000,   1.9668040000,   1.9669500000,   1.9670720000,   1.9671730000,   1.9672550000,   1.9673220000,   1.9673760000,   1.9674190000,   1.9674520000,   1.9674760000,   1.9674950000,   1.9675070000,   1.9675150000,   1.9675190000,   1.9675190000,   1.9675170000,   1.9675130000,   1.9675070000,   1.9674990000,   1.9674890000,   1.9674780000,   1.9674630000,   1.9674430000,   1.9674150000,   1.9673720000,   1.9673040000,   1.9671880000,   1.9669890000,   1.9666400000,   1.9660200000,   1.9649140000,   1.9629280000,   1.9593400000
   8.5000000000,   0.0852918400,   2.5628960000,   2.8079430000,   2.1693790000,   1.9327520000,   1.9702140000,   2.0174790000,   2.0099610000,   1.9977150000,   1.9950550000,   1.9944290000,   1.9920110000,   1.9891320000,   1.9870150000,   1.9855920000,   1.9845300000,   1.9837110000,   1.9831120000,   1.9826900000,   1.9823980000,   1.9822020000,   1.9820840000,   1.9820300000,   1.9820270000,   1.9820630000,   1.9821290000,   1.9822190000,   1.9823250000,   1.9824440000,   1.9825700000,   1.9827010000,   1.9828330000,   1.9829660000,   1.9830970000,   1.9832260000,   1.9833500000,   1.9834700000,   1.9835860000,   1.9836960000,   1.9838000000,   1.9839000000,   1.9839930000,   1.9840820000,   1.9841640000,   1.9842420000,   1.9843150000,   1.9843820000,   1.9844450000,   1.9845020000,   1.9845540000,   1.9846000000,   1.9846370000,   1.9846620000,   1.9846690000,   1.9846450000,   1.9845700000,   1.9844060000,   1.9840810000,   1.9834720000,   1.9823490000,   1.9802870000
   9.0000000000,   0.0904408400,   2.1588390000,   2.5158230000,   2.0847190000,   1.9277340000,   1.9766610000,   2.0323010000,   2.0409070000,   2.0389890000,   2.0396680000,   2.0393340000,   2.0362690000,   2.0321350000,   2.0282850000,   2.0249180000,   2.0218930000,   2.0191600000,   2.0167090000,   2.0145120000,   2.0125310000,   2.0107390000,   2.0091190000,   2.0076540000,   2.0063320000,   2.0051380000,   2.0040600000,   2.0030860000,   2.0022060000,   2.0014110000,   2.0006920000,   2.0000420000,   1.9994540000,   1.9989230000,   1.9984420000,   1.9980060000,   1.9976120000,   1.9972550000,   1.9969310000,   1.9966380000,   1.9963730000,   1.9961320000,   1.9959140000,   1.9957160000,   1.9955360000,   1.9953730000,   1.9952250000,   1.9950900000,   1.9949680000,   1.9948560000,   1.9947540000,   1.9946590000,   1.9945700000,   1.9944850000,   1.9943970000,   1.9943020000,   1.9941860000,   1.9940280000,   1.9937890000,   1.9934020000,   1.9927410000,   1.9915760000
   9.5000000000,   0.0952905600,   1.4961200000,   1.8813820000,   1.7433040000,   1.7156520000,   1.7865230000,   1.8513790000,   1.8826340000,   1.9019610000,   1.9184110000,   1.9313440000,   1.9406380000,   1.9477200000,   1.9536850000,   1.9588890000,   1.9634230000,   1.9673820000,   1.9708570000,   1.9739120000,   1.9765970000,   1.9789570000,   1.9810330000,   1.9828630000,   1.9844780000,   1.9859050000,   1.9871680000,   1.9882870000,   1.9892790000,   1.9901600000,   1.9909410000,   1.9916370000,   1.9922550000,   1.9928060000,   1.9932960000,   1.9937340000,   1.9941240000,   1.9944730000,   1.9947850000,   1.9950640000,   1.9953130000,   1.9955370000,   1.9957370000,   1.9959160000,   1.9960780000,   1.9962220000,   1.9963520000,   1.9964680000,   1.9965730000,   1.9966670000,   1.9967510000,   1.9968260000,   1.9968930000,   1.9969500000,   1.9969980000,   1.9970340000,   1.9970540000,   1.9970490000,   1.9970030000,   1.9968870000,   1.9966470000,   1.9961820000
  10.0000000000,   0.1000000000,   0.6861894000,   0.8905810000,   0.9618480000,   0.9866972000,   0.9953616000,   0.9983827000,   0.9994361000,   0.9998034000,   0.9999314000,   0.9999761000,   0.9999917000,   0.9999971000,   0.9999990000,   0.9999996000,   0.9999999000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000
