,              0,             10,             20,             30,             40,             50,             60,             70,             80,             90,            100,            110,            120,            130,            140,            150,            160,            170,            180,            190,            200,            210,            220,            230,            240,            250,            260,            270,            280,            290,            300,            310,            320,            330,            340,            350,            360,            370,            380,            390,            400,            410,            420,            430,            440,            450,            460,            470,            480,            490,            500,            510,            520,            530,            540,            550,            560,            570,            580,            590,            600
   5.0000000000,   0.6406332000,   0.5470948000,   0.2845049000,   0.5288501000,   0.5425267000,   0.4901894000,   0.4649948000,   0.4785953000,   0.4916295000,   0.4950975000,   0.4957580000,   0.4966988000,   0.4976430000,   0.4982067000,   0.4985356000,   0.4988010000,   0.4990285000,   0.4992029000,   0.4993306000,   0.4994279000,   0.4995056000,   0.4995689000,   0.4996214000,   0.4996661000,   0.4997048000,   0.4997387000,   0.4997684000,   0.4997947000,   0.4998178000,   0.4998383000,   0.4998563000,   0.4998723000,   0.4998865000,   0.4998990000,   0.4999101000,   0.4999199000,   0.4999286000,   0.4999362000,   0.4999430000,   0.4999491000,   0.4999543000,   0.4999589000,   0.4999629000,   0.4999661000,   0.4999685000,   0.4999698000,   0.4999695000,   0.4999664000,   0.4999588000,   0.4999433000,   0.4999139000,   0.4998597000,   0.4997614000,   0.4995841000,   0.4992656000,   0.4986946000,   0.4976723000,   0.4958442000,   0.4925802000,   0.4867683000,   0.4764707000
   5.5000000000,   0.6974526000,   0.9116610000,   0.4255729000,   0.7375096000,   0.8051456000,   0.7540271000,   0.7062280000,   0.7117327000,   0.7245154000,   0.7275598000,   0.7270105000,   0.7269608000,   0.7273176000,   0.7274554000,   0.7274094000,   0.7273636000,   0.7273506000,   0.7273362000,   0.7273085000,   0.7272744000,   0.7272398000,   0.7272060000,   0.7271736000,   0.7271434000,   0.7271160000,   0.7270914000,   0.7270694000,   0.7270497000,   0.7270322000,   0.7270166000,   0.7270027000,   0.7269903000,   0.7269792000,   0.7269694000,   0.7269606000,   0.7269527000,   0.7269456000,   0.7269393000,   0.7269336000,   0.7269285000,   0.7269238000,   0.7269195000,   0.7269155000,   0.7269116000,   0.7269076000,   0.7269031000,   0.7268974000,   0.7268894000,   0.7268769000,   0.7268564000,   0.7268213000,   0.7267600000,   0.7266514000,   0.7264581000,   0.7261133000,   0.7254968000,   0.7243942000,   0.7224219000,   0.7188953000,   0.7125956000,   0.7013660000
   6.0000000000,   0.7480657000,   1.3669360000,   0.5444181000,   0.8584601000,   0.9901891000,   0.9570414000,   0.8834856000,   0.8706560000,   0.8774847000,   0.8783915000,   0.8758938000,   0.8742369000,   0.8736161000,   0.8731619000,   0.8726785000,   0.8722973000,   0.8720491000,   0.8718777000,   0.8717424000,   0.8716314000,   0.8715402000,   0.8714636000,   0.8713975000,   0.8713399000,   0.8712897000,   0.8712462000,   0.8712084000,   0.8711755000,   0.8711470000,   0.8711223000,   0.8711010000,   0.8710825000,   0.8710666000,   0.8710529000,   0.8710411000,   0.8710309000,   0.8710223000,   0.8710148000,   0.8710085000,   0.8710030000,   0.8709984000,   0.8709944000,   0.8709908000,   0.8709876000,   0.8709844000,   0.8709809000,   0.8709766000,   0.8709705000,   0.8709608000,   0.8709446000,   0.8709166000,   0.8708670000,   0.8707789000,   0.8706217000,   0.8703405000,   0.8698373000,   0.8689363000,   0.8673226000,   0.8644316000,   0.8592501000,   0.8499608000
   6.5000000000,   0.7928541000,   1.8534690000,   0.6176055000,   0.8659503000,   1.0470550000,   1.0521220000,   0.9698104000,   0.9429706000,   0.9454065000,   0.9463185000,   0.9438789000,   0.9420424000,   0.9414663000,   0.9412285000,   0.9409573000,   0.9407510000,   0.9406704000,   0.9406698000,   0.9407003000,   0.9407432000,   0.9407919000,   0.9408410000,   0.9408864000,   0.9409266000,   0.9409618000,   0.9409924000,   0.9410189000,   0.9410417000,   0.9410614000,   0.9410784000,   0.9410930000,   0.9411056000,   0.9411165000,   0.9411258000,   0.9411340000,   0.9411410000,   0.9411471000,   0.9411524000,   0.9411570000,   0.9411610000,   0.9411645000,   0.9411675000,   0.9411700000,   0.9411721000,   0.9411736000,   0.9411744000,   0.9411742000,   0.9411723000,   0.9411677000,   0.9411582000,   0.9411402000,   0.9411070000,   0.9410467000,   0.9409381000,   0.9407429000,   0.9403926000,   0.9397644000,   0.9386377000,   0.9366154000,   0.9329805000,   0.9264320000
   7.0000000000,   0.8323821000,   2.2926950000,   0.6541850000,   0.8053597000,   1.0091510000,   1.0626010000,   0.9949353000,   0.9662949000,   0.9693612000,   0.9730412000,   0.9725177000,   0.9716065000,   0.9716279000,   0.9718585000,   0.9718912000,   0.9718459000,   0.9718488000,   0.9718968000,   0.9719570000,   0.9720180000,   0.9720787000,   0.9721368000,   0.9721896000,   0.9722361000,   0.9722765000,   0.9723116000,   0.9723419000,   0.9723678000,   0.9723900000,   0.9724089000,   0.9724248000,   0.9724383000,   0.9724496000,   0.9724590000,   0.9724668000,   0.9724732000,   0.9724784000,   0.9724827000,   0.9724861000,   0.9724888000,   0.9724908000,   0.9724924000,   0.9724935000,   0.9724941000,   0.9724943000,   0.9724940000,   0.9724930000,   0.9724909000,   0.9724870000,   0.9724800000,   0.9724675000,   0.9724453000,   0.9724058000,   0.9723351000,   0.9722089000,   0.9719829000,   0.9715781000,   0.9708522000,   0.9695481000,   0.9671990000,   0.9629498000
   7.5000000000,   0.8673265000,   2.6080700000,   0.6824922000,   0.7404520000,   0.9417400000,   1.0349040000,   0.9936636000,   0.9715698000,   0.9777575000,   0.9846448000,   0.9862006000,   0.9862473000,   0.9867320000,   0.9872298000,   0.9873706000,   0.9872996000,   0.9871984000,   0.9871090000,   0.9870223000,   0.9869391000,   0.9868661000,   0.9868048000,   0.9867537000,   0.9867109000,   0.9866755000,   0.9866465000,   0.9866232000,   0.9866044000,   0.9865895000,   0.9865779000,   0.9865688000,   0.9865619000,   0.9865567000,   0.9865529000,   0.9865502000,   0.9865483000,   0.9865472000,   0.9865466000,   0.9865464000,   0.9865466000,   0.9865469000,   0.9865474000,   0.9865480000,   0.9865486000,   0.9865492000,   0.9865496000,   0.9865497000,   0.9865491000,   0.9865476000,   0.9865441000,   0.9865373000,   0.9865245000,   0.9865010000,   0.9864584000,   0.9863815000,   0.9862434000,   0.9859952000,   0.9855492000,   0.9847464000,   0.9832968000,   0.9806642000
   8.0000000000,   0.8984282000,   2.7374560000,   0.7308183000,   0.7153488000,   0.8963466000,   1.0075990000,   0.9891239000,   0.9739819000,   0.9815073000,   0.9894511000,   0.9918544000,   0.9923217000,   0.9930381000,   0.9937585000,   0.9941081000,   0.9941908000,   0.9941835000,   0.9941434000,   0.9940757000,   0.9939908000,   0.9939031000,   0.9938201000,   0.9937436000,   0.9936742000,   0.9936121000,   0.9935571000,   0.9935088000,   0.9934665000,   0.9934297000,   0.9933978000,   0.9933702000,   0.9933464000,   0.9933260000,   0.9933084000,   0.9932934000,   0.9932806000,   0.9932697000,   0.9932605000,   0.9932527000,   0.9932462000,   0.9932407000,   0.9932361000,   0.9932323000,   0.9932292000,   0.9932265000,   0.9932243000,   0.9932222000,   0.9932202000,   0.9932179000,   0.9932147000,   0.9932097000,   0.9932014000,   0.9931869000,   0.9931611000,   0.9931151000,   0.9930327000,   0.9928849000,   0.9926191000,   0.9921401000,   0.9912735000,   0.9896938000
   8.5000000000,   0.9264592000,   2.6368560000,   0.8158476000,   0.7508919000,   0.8992908000,   1.0038560000,   0.9956789000,   0.9824419000,   0.9867728000,   0.9920916000,   0.9932162000,   0.9930590000,   0.9934856000,   0.9942172000,   0.9947954000,   0.9951987000,   0.9955227000,   0.9957940000,   0.9960078000,   0.9961715000,   0.9962993000,   0.9964011000,   0.9964824000,   0.9965467000,   0.9965972000,   0.9966366000,   0.9966669000,   0.9966897000,   0.9967064000,   0.9967181000,   0.9967259000,   0.9967305000,   0.9967326000,   0.9967327000,   0.9967312000,   0.9967285000,   0.9967249000,   0.9967206000,   0.9967159000,   0.9967108000,   0.9967056000,   0.9967003000,   0.9966949000,   0.9966897000,   0.9966845000,   0.9966793000,   0.9966743000,   0.9966692000,   0.9966640000,   0.9966584000,   0.9966518000,   0.9966435000,   0.9966317000,   0.9966136000,   0.9965840000,   0.9965337000,   0.9964459000,   0.9962903000,   0.9960120000,   0.9955096000,   0.9945929000
   9.0000000000,   0.9522042000,   2.2862050000,   0.9315927000,   0.8475067000,   0.9523487000,   1.0288390000,   1.0195070000,   1.0037020000,   1.0012370000,   1.0009250000,   0.9987631000,   0.9966068000,   0.9956196000,   0.9953994000,   0.9954223000,   0.9955314000,   0.9957089000,   0.9959223000,   0.9961370000,   0.9963393000,   0.9965282000,   0.9967041000,   0.9968664000,   0.9970150000,   0.9971505000,   0.9972734000,   0.9973848000,   0.9974854000,   0.9975763000,   0.9976584000,   0.9977324000,   0.9977991000,   0.9978594000,   0.9979138000,   0.9979628000,   0.9980071000,   0.9980471000,   0.9980833000,   0.9981159000,   0.9981454000,   0.9981721000,   0.9981962000,   0.9982180000,   0.9982377000,   0.9982555000,   0.9982716000,   0.9982861000,   0.9982991000,   0.9983107000,   0.9983208000,   0.9983292000,   0.9983357000,   0.9983394000,   0.9983388000,   0.9983313000,   0.9983120000,   0.9982718000,   0.9981948000,   0.9980511000,   0.9977862000,   0.9972964000
   9.5000000000,   0.9764528000,   1.7083900000,   1.0288010000,   0.9682264000,   1.0209020000,   1.0575140000,   1.0463520000,   1.0314580000,   1.0246400000,   1.0200960000,   1.0155020000,   1.0116600000,   1.0090340000,   1.0072660000,   1.0059570000,   1.0049360000,   1.0041320000,   1.0034850000,   1.0029510000,   1.0024990000,   1.0021150000,   1.0017860000,   1.0015030000,   1.0012590000,   1.0010470000,   1.0008620000,   1.0007010000,   1.0005590000,   1.0004350000,   1.0003260000,   1.0002300000,   1.0001450000,   1.0000700000,   1.0000040000,   0.9999460000,   0.9998943000,   0.9998485000,   0.9998078000,   0.9997717000,   0.9997397000,   0.9997112000,   0.9996858000,   0.9996632000,   0.9996430000,   0.9996250000,   0.9996090000,   0.9995946000,   0.9995817000,   0.9995700000,   0.9995594000,   0.9995497000,   0.9995404000,   0.9995311000,   0.9995211000,   0.9995091000,   0.9994928000,   0.9994683000,   0.9994287000,   0.9993609000,   0.9992413000,   0.9990246000
  10.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000,   1.0000000000
