               ,   0.0000000000,   1.2500000000,   2.5000000000,   3.7500000000,   5.0000000000,
              0,   0.0000000000,  -0.0546720000,  -0.0284779000,  -0.0546720000,   0.0000000000,
              1,   0.0000000000,   0.4672700000,   0.3389360000,   0.4672700000,   0.0000000000,
              2,   0.0000000000,   0.6624970000,   0.1034710000,   0.6624970000,   0.0000000000,
              3,   0.0000000000,   0.7566520000,   0.0294300000,   0.7566520000,   0.0000000000,
              4,   0.0000000000,   0.3484960000,  -0.2102934000,   0.3484960000,   0.0000000000,
              5,   0.0000000000,  -0.0751643000,  -0.3467035000,  -0.0751643000,   0.0000000000,
              6,   0.0000000000,  -0.2506581000,  -0.3028096000,  -0.2506581000,   0.0000000000,
              7,   0.0000000000,  -0.2511518000,  -0.1174460000,  -0.2511518000,   0.0000000000,
              8,   0.0000000000,  -0.1849947000,   0.0503590000,  -0.1849947000,   0.0000000000,
              9,   0.0000000000,  -0.1187999000,   0.0838340000,  -0.1187999000,   0.0000000000,
             10,   0.0000000000,  -0.0441446000,   0.0875330000,  -0.0441446000,   0.0000000000,
             11,   0.0000000000,   0.0234440000,   0.0738990000,   0.0234440000,   0.0000000000,
             12,   0.0000000000,   0.0670390000,   0.0471090000,   0.0670390000,   0.0000000000,
             13,   0.0000000000,   0.0776600000,   0.0146630000,   0.0776600000,   0.0000000000,
             14,   0.0000000000,   0.0596540000,  -0.0140570000,   0.0596540000,   0.0000000000,
             15,   0.0000000000,   0.0282420000,  -0.0306691000,   0.0282420000,   0.0000000000,
             16,   0.0000000000,  -0.0007126000,  -0.0322843000,  -0.0007126000,   0.0000000000,
             17,   0.0000000000,  -0.0185860000,  -0.0227881000,  -0.0185860000,   0.0000000000,
             18,   0.0000000000,  -0.0243985000,  -0.0094966000,  -0.0243985000,   0.0000000000,
             19,   0.0000000000,  -0.0212382000,   0.0016460000,  -0.0212382000,   0.0000000000,
             20,   0.0000000000,  -0.0132408000,   0.0081260000,  -0.0132408000,   0.0000000000,
             21,   0.0000000000,  -0.0042097000,   0.0099710000,  -0.0042097000,   0.0000000000,
             22,   0.0000000000,   0.0030190000,   0.0083800000,   0.0030190000,   0.0000000000,
             23,   0.0000000000,   0.0069600000,   0.0049570000,   0.0069600000,   0.0000000000,
             24,   0.0000000000,   0.0075290000,   0.0012500000,   0.0075290000,   0.0000000000,
             25,   0.0000000000,   0.0056780000,  -0.0015892000,   0.0056780000,   0.0000000000,
             26,   0.0000000000,   0.0027830000,  -0.0030090000,   0.0027830000,   0.0000000000,
             27,   0.0000000000,   0.0000690000,  -0.0030575000,   0.0000690000,   0.0000000000,
             28,   0.0000000000,  -0.0017257000,  -0.0021856000,  -0.0017257000,   0.0000000000,
             29,   0.0000000000,  -0.0023958000,  -0.0009714000,  -0.0023958000,   0.0000000000,
             30,   0.0000000000,  -0.0021373000,   0.0001070000,  -0.0021373000,   0.0000000000,
             31,   0.0000000000,  -0.0013460000,   0.0007800000,  -0.0013460000,   0.0000000000,
             32,   0.0000000000,  -0.0004340000,   0.0009940000,  -0.0004340000,   0.0000000000,
             33,   0.0000000000,   0.0002920000,   0.0008460000,   0.0002920000,   0.0000000000,
             34,   0.0000000000,   0.0006850000,   0.0005020000,   0.0006850000,   0.0000000000,
             35,   0.0000000000,   0.0007430000,   0.0001290000,   0.0007430000,   0.0000000000,
             36,   0.0000000000,   0.0005640000,  -0.0001538000,   0.0005640000,   0.0000000000,
             37,   0.0000000000,   0.0002810000,  -0.0002948000,   0.0002810000,   0.0000000000,
             38,   0.0000000000,   0.0000130000,  -0.0003013000,   0.0000130000,   0.0000000000,
             39,   0.0000000000,  -0.0001663000,  -0.0002175000,  -0.0001663000,   0.0000000000,
             40,   0.0000000000,  -0.0002357000,  -0.0000988000,  -0.0002357000,   0.0000000000,
             41,   0.0000000000,  -0.0002125000,   0.0000080000,  -0.0002125000,   0.0000000000,
             42,   0.0000000000,  -0.0001352000,   0.0000760000,  -0.0001352000,   0.0000000000,
             43,   0.0000000000,  -0.0000449000,   0.0000980000,  -0.0000449000,   0.0000000000,
             44,   0.0000000000,   0.0000270000,   0.0000840000,   0.0000270000,   0.0000000000,
             45,   0.0000000000,   0.0000670000,   0.0000500000,   0.0000670000,   0.0000000000,
             46,   0.0000000000,   0.0000730000,   0.0000140000,   0.0000730000,   0.0000000000,
             47,   0.0000000000,   0.0000560000,  -0.0000146000,   0.0000560000,   0.0000000000,
             48,   0.0000000000,   0.0000280000,  -0.0000289000,   0.0000280000,   0.0000000000,
             49,   0.0000000000,   0.0000020000,  -0.0000298000,   0.0000020000,   0.0000000000,
             50,   0.0000000000,  -0.0000161000,  -0.0000217000,  -0.0000161000,   0.0000000000,
             51,   0.0000000000,  -0.0000232000,  -0.0000100000,  -0.0000232000,   0.0000000000,
             52,   0.0000000000,  -0.0000211000,   0.0000010000,  -0.0000211000,   0.0000000000,
             53,   0.0000000000,  -0.0000136000,   0.0000070000,  -0.0000136000,   0.0000000000,
             54,   0.0000000000,  -0.0000046000,   0.0000100000,  -0.0000046000,   0.0000000000,
             55,   0.0000000000,   0.0000030000,   0.0000080000,   0.0000030000,   0.0000000000,
             56,   0.0000000000,   0.0000070000,   0.0000050000,   0.0000070000,   0.0000000000,
             57,   0.0000000000,   0.0000070000,   0.0000010000,   0.0000070000,   0.0000000000,
             58,   0.0000000000,   0.0000060000,  -0.0000014000,   0.0000060000,   0.0000000000,
             59,   0.0000000000,   0.0000030000,  -0.0000028000,   0.0000030000,   0.0000000000,
             60,   0.0000000000,   0.0000000000,  -0.0000030000,   0.0000000000,   0.0000000000,
             61,   0.0000000000,  -0.0000015000,  -0.0000022000,  -0.0000016000,   0.0000000000,
             62,   0.0000000000,  -0.0000022000,  -0.0000010000,  -0.0000023000,   0.0000000000,
             63,   0.0000000000,  -0.0000020000,   0.0000000000,  -0.0000022000,   0.0000000000,
             64,   0.0000000000,  -0.0000012000,   0.0000010000,  -0.0000015000,   0.0000000000,
             65,   0.0000000000,  -0.0000003000,   0.0000010000,  -0.0000006000,   0.0000000000,
             66,   0.0000000000,   0.0000000000,   0.0000010000,   0.0000000000,   0.0000000000,
             67,   0.0000000000,   0.0000010000,   0.0000010000,   0.0000000000,   0.0000000000,
             68,   0.0000000000,   0.0000010000,   0.0000000000,   0.0000000000,   0.0000000000,
             69,   0.0000000000,   0.0000010000,  -0.0000001000,  -0.0000002000,   0.0000000000,
             70,   0.0000000000,   0.0000010000,  -0.0000003000,  -0.0000009000,   0.0000000000,
             71,   0.0000000000,   0.0000020000,  -0.0000003000,  -0.0000017000,   0.0000000000,
             72,   0.0000000000,   0.0000020000,  -0.0000002000,  -0.0000027000,   0.0000000000,
             73,   0.0000000000,   0.0000030000,  -0.0000001000,  -0.0000039000,   0.0000000000,
             74,   0.0000000000,   0.0000050000,   0.0000000000,  -0.0000057000,   0.0000000000,
             75,   0.0000000000,   0.0000080000,   0.0000000000,  -0.0000082000,   0.0000000000,
             76,   0.0000000000,   0.0000120000,   0.0000000000,  -0.0000120000,   0.0000000000,
             77,   0.0000000000,   0.0000180000,   0.0000000000,  -0.0000176000,   0.0000000000,
             78,   0.0000000000,   0.0000260000,   0.0000000000,  -0.0000259000,   0.0000000000,
             79,   0.0000000000,   0.0000380000,   0.0000000000,  -0.0000382000,   0.0000000000,
             80,   0.0000000000,   0.0000570000,   0.0000000000,  -0.0000565000,   0.0000000000,
             81,   0.0000000000,   0.0000840000,   0.0000000000,  -0.0000834000,   0.0000000000,
             82,   0.0000000000,   0.0001230000,   0.0000000000,  -0.0001232000,   0.0000000000,
             83,   0.0000000000,   0.0001820000,   0.0000000000,  -0.0001818000,   0.0000000000,
             84,   0.0000000000,   0.0002680000,   0.0000010000,  -0.0002683000,   0.0000000000,
             85,   0.0000000000,   0.0003960000,   0.0000010000,  -0.0003959000,   0.0000000000,
             86,   0.0000000000,   0.0005850000,   0.0000030000,  -0.0005842000,   0.0000000000,
             87,   0.0000000000,   0.0008640000,   0.0000070000,  -0.0008619000,   0.0000000000,
             88,   0.0000000000,   0.0012750000,   0.0000150000,  -0.0012714000,   0.0000000000,
             89,   0.0000000000,   0.0018840000,   0.0000330000,  -0.0018750000,   0.0000000000,
             90,   0.0000000000,   0.0027830000,   0.0000710000,  -0.0027642000,   0.0000000000,
             91,   0.0000000000,   0.0041140000,   0.0001560000,  -0.0040729000,   0.0000000000,
             92,   0.0000000000,   0.0060850000,   0.0003390000,  -0.0059963000,   0.0000000000,
             93,   0.0000000000,   0.0090110000,   0.0007380000,  -0.0088169000,   0.0000000000,
             94,   0.0000000000,   0.0133610000,   0.0016060000,  -0.0129391000,   0.0000000000,
             95,   0.0000000000,   0.0198480000,   0.0034930000,  -0.0189308000,   0.0000000000,
             96,   0.0000000000,   0.0295490000,   0.0075850000,  -0.0275625000,   0.0000000000,
             97,   0.0000000000,   0.0440890000,   0.0164090000,  -0.0398119000,   0.0000000000,
             98,   0.0000000000,   0.0658310000,   0.0352100000,  -0.0567501000,   0.0000000000,
             99,   0.0000000000,   0.0978190000,   0.0742120000,  -0.0791252000,   0.0000000000,
            100,   0.0000000000,   0.1422740000,   0.1503630000,  -0.1064004000,   0.0000000000,
